JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Hiring Economist Assistant For SHPK,ACTIKNOW,Dubai,"Knowledge of Microsoft office package.
To assist in the re-registration of accounting documentation (Invoice).
Finance 5 4- Foreign languages (English).",,2 days ago,https://ae.indeed.com/rc/clk?jk=3ed001f42a2a3002&fccid=eedbb193b40927ff&vjs=3
Office Manager / Personal Assistant,Astellas,Dubai,"In addition to Office management tasks, personal assistant support will be required to the Area Lead MEA and secretarial tasks related to the Dubai based…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=d7de495f548f8df6&fccid=889299755eb998cd&vjs=3
Front Office Assistant - LEGOLAND® Hotel,Dubai Parks and Resorts,Dubai,"Front Office Assistants are responsible for acting as the face of the Resort, answering and responding to internal and external guest needs and deliver…",,19 days ago,https://ae.indeed.com/rc/clk?jk=b60d43a1f1402471&fccid=9969a38135fd6b08&vjs=3
Administrative Assistant For Europe Group,ACTIKNOW,Dubai,"English, a high level is essential, as it is required for telephone contact and reporting with the central office (an interview will be held to check level).",,15 days ago,https://ae.indeed.com/rc/clk?jk=b0d102c5c4d816fc&fccid=eedbb193b40927ff&vjs=3
Executive Assistant,Scancruit,Dubai,This role is responsible for providing high-level administrative support to the CEO and also other key members of the Executive management team when requested.,,15 days ago,https://ae.indeed.com/rc/clk?jk=76ae3cd3d0142a15&fccid=7021cc13a0d80157&vjs=3
Common Services Clerk,Canadian Embassy,Abu Dhabi,"Knowledge of basic office support work including reporting, filing and/or other tasks assigned when required.
; enters data in departmental integrated automated…",,6 days ago,https://ae.indeed.com/rc/clk?jk=f206ac7d0bd4e57c&fccid=5816d79d804f4e07&vjs=3
Administrative Assistant / Office Support,eMagine Solutions,Dubai,They are looking for a Junior Office Administrator to come in and help out with the daily running of the office.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=c6e9f233ba65b7ae&fccid=f03cb75e92ce2307&vjs=3
Onsite Corp. Required An Administrative Assistant,ACTIKNOW,Dubai,"Availability to work in a face-to-face office.
Provide attention to complaints and / or claims.
Make invoices, referral guides and ballots.",,3 days ago,https://ae.indeed.com/rc/clk?jk=abb4630a3d7c89da&fccid=eedbb193b40927ff&vjs=3
HR Assistant,GEMS Education,Dubai,"Employees of the school and corporate offices.
Knowledge in general HR office procedures, policies and methods.
Update employee handbook as required.",,5 days ago,https://ae.indeed.com/rc/clk?jk=f3cae21e050813eb&fccid=57152cef4c225917&vjs=3
Office Assistant,Al Nabaha Accounting,Dubai,"Hand on experience in MS-office.
Sort and distribute communications in a timely manner.
Create and update records ensuring the accuracy and validity of…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=b3da43a3fd81c254&fccid=e8df1b18e9e51aaa&vjs=3
Assistant Administrator,Al Makamin Recruitment Services,Abu Dhabi,"Explains Council office locations and give exact directions to the Councils visiting guests when needed.
Organizes the soft services and hospitality operation…",,Today,https://ae.indeed.com/rc/clk?jk=a309cbdd4234a830&fccid=84d18367ec6555ee&vjs=3
Administrative assistant,Emirates Bio Farm,Al-Ayn,"Administrative Assistants must be comfortable with using Microsoft office, communicating through email, general office tasks, and excel at both verbal and…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=fc2bcdda532a002c&fccid=3811fbbc6c144469&vjs=3
Registration Assistant,Zayed University,Dubai,The Admissions & Registration Department seeks an incumbent for the position of Registration Assistant to provide general administrative assistance to…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=ef754400270a5b0c&fccid=9628b0bd10bde506&vjs=3
Administrative Assistant,RISKTAL,Dubai,"Provide general support to the CEO Office including agenda setting, key decision making/informational items requested by the team, completion of standard…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=eef1503946ed69f0&fccid=2840b6679ca0c7cc&vjs=3
• Administrative Assistant,American University in Dubai,Dubai,"Strong organization and office administration skills.
Knowledge and high level of proficiency in the use of all office equipment.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=d1e06d49142cf8d5&fccid=0e972ae87ed4dbe6&vjs=3
• Administrative Assistant – Institutional Effectiveness,American University in Dubai,Dubai,"General office management including knowledge about the office equipment and mail services (including.
Ordering supplies, and maintaining a professional and…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=d91c9ee31764e068&fccid=0e972ae87ed4dbe6&vjs=3
Administrative Assistant,Zayed University,Dubai,"Act as first point of contact for students in the COB office.
The College of Business seeks an incumbent for the position of Administrative Assistant to provide…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=80f93526a7ad34ec&fccid=9628b0bd10bde506&vjs=3
Admissions Assistant,GEMS Education,Dubai,"The Front of House team is responsible for delivering outstanding customer service, maintaining strong communication with parents, handling queries, and being…",,20 days ago,https://ae.indeed.com/rc/clk?jk=f36bd16f8fcd0b3f&fccid=57152cef4c225917&vjs=3
PLANT OPERATOR ASSISTANT,Emirates National Oil Company,Dubai,"To ensure loading, unloading and stacking of cylinders, materials, maintenance of cylinders and other general maintenance activities of the plant as per…",,7 days ago,https://ae.indeed.com/rc/clk?jk=3de9a6baa5841865&fccid=5aaf4bb396721940&vjs=3
Account Assistant/Office coordinator,Powertech,Sharjah,"Don’t have a Bachelor’s Degree (Accounting/Finance).
Aren’t fluent in English.
Don’t have basic computer knowledge.
Don’t have basic accounting knowledge.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=5dba42982cf07712&fccid=6e923b49252e6cf8&vjs=3
Personal Assistant,Ellington Properties,Dubai,"Manage office supplies such as stationary needs, business cards and follow up on office equipment repair.
Full comprehension of office management systems and…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=d6dc85767aa5d2b3&fccid=1af5bcf964174ba5&vjs=3
FRONT OFFICE ASSISTANT / GSA,Al Khoory Hotels,Dubai,"Age Not more than 26 years.
Skills Presentable , excellent in communication skills and proficiency in operating equipments/ hands-on experience in Fidelio…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=e907877015090e7e&fccid=c6450f7476e947ee&vjs=3
Admin & Front Desk Executive,Nathan & Nathan,Dubai,"Manage and restock all office supplies.
Main point of contact for organizing the maintenance for the office.
He/she would be responsible for ensuring the smooth…",,23 days ago,https://ae.indeed.com/rc/clk?jk=c64b216225f96242&fccid=8bcb2c3c2864e801&vjs=3
"DXB - Deputy Consular Network Officer, MENASA A2(L)",Foreign & Commonwealth Office,Dubai,Previous experience as an administrative assistant and/ or as a personal assistant/ executive assistant and/ or as a team coordinator.,,5 days ago,https://ae.indeed.com/rc/clk?jk=4a2db925cab2230b&fccid=0b2763f9c0c80005&vjs=3
Administrative Assistant/Sales Coordinator,Maxus Coral,Dubai,Role consists of providing administrative and sales support to designated account managers within our organization.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=72dd59d5589adcd6&fccid=62c2e7ef02ba23a1&vjs=3
Administration,Mandilak,Abu Dhabi,"Work with office administration staff to ensure strong team office efficiency.
Meeting preparation, organization and set up for Team leads, personnel teams and…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=9d53cf77422d3373&fccid=ee43f1180ad1315d&vjs=3
Office Boy,Al Ghurair Investment LLC,Al-Ayn,"Prepare stationary for Field office and the head office.
Make sure the office premise is clean.
Coordinating the maintenance and repair of office equipment.",,8 days ago,https://ae.indeed.com/rc/clk?jk=e1109dfb67b2c8ab&fccid=8b28fe5c659fb8ce&vjs=3
Human Resources Assistant (Night Shift),Q-Express Documents Transport,Dubai,"Computer proficiency, specifically with the Microsoft Office suite (Excel, PowerPoint, Word).
Must have good working knowledge of Microsoft Excel.",,14 days ago,https://ae.indeed.com/rc/clk?jk=4d1b136913a8cd0e&fccid=fe2d21eef233e94a&vjs=3
Executive Assistant / Secretary,Abdullah A. AlMoosa Enterprises - Arenco Group,Dubai,"Strong Secretarial background and good exposure so as to implement all new practices.
Provide secretarial support to the General Manager by encoding…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=68067bcf391e67e8&fccid=b7af4ffd6a2a8a7a&vjs=3
Administrative Assistant,Ecolab,Dubai,"Ecolab is seeking a Temp Administrative Assistant for 6 months to support senior management and team members.
Pull reports and information from Ecolab systems.",,18 days ago,https://ae.indeed.com/rc/clk?jk=3768c36f9074eb74&fccid=b8df555617879658&vjs=3
Campus Services Assistant,Zayed University,Abu Dhabi,"Provides administrative, clerical and office support to Services unit in Abu Dhabi Campus.
Liaises with Vice President’s office to arrange the transportation…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=2584eb558da29b20&fccid=9628b0bd10bde506&vjs=3
Assistant,CP Concept,UAE,Delivering Front desk reception duties for the office such as; managing all phone calls and handling internal & external clients in an opportune and…,,1 day ago,https://ae.indeed.com/rc/clk?jk=287c0e0ecc031d3b&fccid=ab4502c1de61b867&vjs=3
Administrative Assistant,NADIA Recruitment,Dubai,"Will require to man the Reception area, issuing Visitor cards, responsible for office maintenance and office supplies, handle correspondence, manage the meeting…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=5079c356969349de&fccid=108eadce26ac0855&vjs=3
Personal Assistant,Irwin & Dow,Dubai,This role will of course be privy to highly confidential and sensitive information and you will become an intrinsic part of the family’s life.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=2f6a1851417a994a&fccid=7239efb33fb765df&vjs=3
Administration/Support/Service Employee,ZF,Dubai,"Having excellent shorthand, typing & MS office skills.
Physical reception desk for all visitors to corporate office, Reception for all incoming calls and emails…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=86447be884b9dcfd&fccid=837bf790761c391a&vjs=3
Female Office Manager cum PA for the PDC Group Founder & CEO,PDC Consult,Dubai,"Maintains office efficiency by planning and implementing office systems, layouts, and equipment procurement.
Devise and maintain office filing system.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=0cd6be9bd5680ca1&fccid=b310e91c446cc5cd&vjs=3
Assistant Manager 2 - Al Zahia Mall,Azadea,UAE,Greet customers and assist them in their purchase decisions by offering expert advice in compliance with quality and customer service standards.,,4 days ago,https://ae.indeed.com/rc/clk?jk=d3763d2bb0975281&fccid=ef639df6a3be4dac&vjs=3
Royal Service Agent,FAIRMONT,Dubai,"Full proficiency in all office procedures and clerical duties.
As a Royal Service Agent, your attentiveness and commitment to safe practices will facilitate…",,Today,https://ae.indeed.com/rc/clk?jk=cfea6528a64251d4&fccid=89e76d744c108ac2&vjs=3
Temporary Personal Assistant / Office Administrator,Black Pearl Consult,Abu Dhabi,"Ordering and managing office supplies.
Given the current situation, the person will only be required to work 30 hours to 35 hours per week or between 4 to 5…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=b545f99c69f9d155&fccid=e9d731aa91b2d791&vjs=3
Assistant Manager Human Resources - Burj Al Arab,Jumeirah,Dubai,To ensure the process for recruitment activities are conducted in an accurate and timely manner and according to Jumeirah guidelines.,,8 days ago,https://ae.indeed.com/rc/clk?jk=efa5685433ea661b&fccid=8015c178481add76&vjs=3
Assistant Technician -Facility Maintenance /HVAC,Serco Plc,Dubai,"The purpose of the role is to carryout necessary preventative, corrective and breakdown maintenance on various types of locks, keys and related accessories…",,1 day ago,https://ae.indeed.com/rc/clk?jk=b24bade27ee1ea14&fccid=8177021cdb259d9d&vjs=3
ASSISTANT MANAGER (DUTY MANAGER) - FRONT OFFICE ( ARABIC SPEAKER),Grand Hyatt Abu Dhabi,Abu Dhabi,"The Assistant Manager (Duty Manager) - Front Office is expected to manage front office operation while on duty, Interact with guests, handle & resolve…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=494e20b84f1e8965&fccid=b385273868d506a9&vjs=3
Front Office Agent,SOFITEL,Dubai,"To manage all activities relevant to the Front Desk such as the reception, check in / out, cashiering, foreign exchange and assisting guest with inquiries.",,11 days ago,https://ae.indeed.com/rc/clk?jk=1a1ffc278c4896b3&fccid=e52a8045d312f049&vjs=3
"Assistant Manager, Descriptive Analytics",Emirates NBD,Dubai,"AIAA impact TMU ML Visual insightsENBD.
Review in progress business in progress along with parallel run.
TMU EI Shared CBRB limit and outstanding output trigger…",,6 days ago,https://ae.indeed.com/rc/clk?jk=0afb71f57ea16b61&fccid=45494a22245e6f5c&vjs=3
HR Assistant,M&M Marketing Management,Dubai,"To offer promising careers and security.
To retain the best and most promising ones • Assist the HR Manager in performing admin tasks • Reporting to: HR Manager…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=1c57de4b13f4dbff&fccid=08d94012c5e716e2&vjs=3
Boutique Manager,Cartier,Dubai,"The Boutique Manager is responsible for establishing, maintaining and promoting the Cartier brand image as per the Company’s directives.",,7 days ago,https://ae.indeed.com/rc/clk?jk=a6dc7e79d603fe2e&fccid=bc128eeb6f779630&vjs=3
Administration & Procurement Officer,Calcium Advertising,Abu Dhabi,"Acting as an assistant to the HR department and handling employee-related communication and forms.
Demonstrated ability to work autonomously when required but…",,19 days ago,https://ae.indeed.com/rc/clk?jk=914dce9a80ffc5ca&fccid=282a9143640c075a&vjs=3
Office Manager,Nathan & Nathan,Dubai,"Operate and maintain office equipment.
The successful candidate must be bilingual (Arabic & English) and preferably with Executive Assistant experience.",,28 days ago,https://ae.indeed.com/rc/clk?jk=5de60329c4fb3a83&fccid=8bcb2c3c2864e801&vjs=3
Production Assistant - Part Time,Interlink HR Consultancy,Dubai,This SME based in Dubai is looking for a born communicator with great English language skills on a part-time basis to help run their office and help out with…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=e5599870addde286&fccid=b5ecd11527f28fe3&vjs=3
Administrative Assistant (UAE Nationals) - Abdulla Bin Otaiba Charter School,Aldar Academies,Abu Dhabi,"Requisitions, maintains and distributes office stationery and supplies.
Includes receiving people coming into the office of assigned supervisor, answering…",,5 days ago,https://ae.indeed.com/rc/clk?jk=50f2102ceebbf87b&fccid=6bb32fba2ef3c187&vjs=3
Executive Assistant to CEO - Arabic Speaking,ParkerConnect,Abu Dhabi,"Conduct staff appraisals within the Founder’s office, manage performance and identify training needs and prepare recommendations.",,14 days ago,https://ae.indeed.com/rc/clk?jk=dc31f595d69b83f8&fccid=53f5b5c12c0ae6e6&vjs=3
HR & Admin Assistant,RTC-1 Employment Services,Dubai,"Position Title: HR & Admin Assistant Employment Type: Full Time Salary: up to 10,000 AED all-inclusive depending on experience and qualifications Job Location:…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=6d362b6565159e56&fccid=a0f4df2b71213d85&vjs=3
Executive Assistant,Group 42,Abu Dhabi,Role and Scope: To provide comprehensive EA support to one or two Senior Executives within the Corporate Executive office.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=63bf6018d1ef74f4&fccid=23b2370d56bcfd64&vjs=3
Assistant Manager- Legal Counsel - Dubai,OnePoint,Dubai,"One of our client a leading MNC is looking for an Assistant Manager - legal counsel for their office in Dubai.
Advise on various inquiries.",,7 days ago,https://ae.indeed.com/rc/clk?jk=611cee4a6dc1bfbd&fccid=f15e5e4a46544874&vjs=3
Admin Assistant,Taaleem,Dubai,"Compiling office records and updating the files.
Telecommunication activities, answering calls, transferring calls to the right person or to the right…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=caa19da452687830&fccid=08885b1023b1d1b7&vjs=3
Assistant Manager - Housekeeping,SOFITEL,Dubai,"To assist the Director of Houskeeping in overseeing the Housekeeping operations, including the Laundry and the Internal Communication Center, ensuring that the…",,4 days ago,https://ae.indeed.com/rc/clk?jk=b61c8df94ae07f93&fccid=e52a8045d312f049&vjs=3
Assistant HR Manager,KEO International Consultants,Abu Dhabi,"The role will entail supporting HR Management and working on matters related to the employment lifecycle, such as employee onboarding and exiting, performance…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=be60fe9788950e4c&fccid=949673974a2517aa&vjs=3
Executive Assistant (Italian/English speaking),LC & Partners,Dubai,"Proven work experience as a personal assistant.
Knowledge of office management systems and procedures.
Update and maintain office policies and procedures.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=e2e82103fec774a3&fccid=f8906bf0b7484f8a&vjs=3
Assistant Technician - Power Distribution,Serco Plc,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on medium and low voltage power distribution related systems and…",,15 days ago,https://ae.indeed.com/rc/clk?jk=be029671ed189141&fccid=8177021cdb259d9d&vjs=3
Clients & Industries – Audit & Assurance,Deloitte,Dubai,"Manage the pipeline liaising with C&I Partners for A&A across the region.
Management reporting on key tenders and opportunities across A&A.",,21 days ago,https://ae.indeed.com/rc/clk?jk=01dd8d28d80b186c&fccid=9e215d88a6b33622&vjs=3
"Administrative Assistant, Kawader Program",NYU Abu Dhabi,Abu Dhabi,"2 years or more within an office environment (ideally in an academic setting).
Assist with the prioritization of office activities and delegate to and monitor…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=57ba2c94241f2e67&fccid=1fd02f11432a270f&vjs=3
Assistant Executive Housekeeper,Centara Hotels & Resorts,Dubai,To coordinate with front office to ensure that rooms are serviced according to guest requirements’ and vacant rooms are cleaned for new arrivals.,,30+ days ago,https://ae.indeed.com/rc/clk?jk=16aa67e8ec368200&fccid=01c429de36830ab2&vjs=3
Assistant Technician - Chillers & Plants - Fitter,Serco Plc,Dubai,"The purpose of the role is to perform assistance to the Chiller Technician in the operation & maintenance of the chiller plant equipment that include chillers,…",,15 days ago,https://ae.indeed.com/rc/clk?jk=72c8b5aad93a49ba&fccid=8177021cdb259d9d&vjs=3
DESIGNER / PRODUCTION ASSISTANT,The Attic Studio,Dubai,"This position will require you to be flexible to work on varied experimental design projects and explore creative solutions.
Fluent in Arabic and English.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=69583f5b1d8cec7d&fccid=774bddbe414a62de&vjs=3
Helper Required For Different Services,ACTIKNOW,Dubai,"General cleaning assistant, the main tasks are cleaning the office and camp areas.
It operates consistently in accordance with the vision, spirit, ethics,…",,1 day ago,https://ae.indeed.com/rc/clk?jk=72602be7c6379d9c&fccid=eedbb193b40927ff&vjs=3
Assistant Director of Human Resources,Mandarin Oriental Hotel Group,Abu Dhabi,"Personnel record and file keeping is effectively maintained according to Emirates Palace Hotel and legal requirements (employee files, reports and statistics).",,Today,https://ae.indeed.com/rc/clk?jk=a94605aa82857af2&fccid=0b0d7dbf16a42062&vjs=3
Administrative Assistant,Interlink HR Consultancy,Dubai,"Company: Interlink HR ConsultancyEmployment Type: Full TimeEducation Level: BachelorExperience: 5 YearsJob Type: Admin, Secretarial.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=1362c4d71eea14d4&fccid=b5ecd11527f28fe3&vjs=3
Internal communication & projects Assistant - Internship,Chanel,Dubai,"Analyze the internal communication and bring new ideas : tools, way to communicate, identity, etc.
Organize and coordinate internal events and communication:…",,22 days ago,https://ae.indeed.com/rc/clk?jk=9e225c723ad3eaee&fccid=20f48cf7726b0510&vjs=3
Personal Assistant,RTC-1 Employment Services,Sharjah,Project coordination • Reporting & analytics on project progress and undertake due follow ups with diplomacy and tact • Analysis and reporting on KPI’s per…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=0194ce14f2b18321&fccid=a0f4df2b71213d85&vjs=3
"Assistant Director, Admissions",NYU Abu Dhabi,Abu Dhabi,"Support other offices on campus with events related to the NYUAD campus community (such as Marhaba, Parent Marhaba, and Commencement).",,30+ days ago,https://ae.indeed.com/rc/clk?jk=fad74e27af469748&fccid=1fd02f11432a270f&vjs=3
FEMALE Country Recruiter.,Halakids,Dubai,"IT literate -excellent tying speed -proficient in Microsoft Office and CRM database management.
Strong administration efficiency in document creation and…",,2 days ago,https://ae.indeed.com/rc/clk?jk=229a9f18cfd2cfc4&fccid=cc552205dc3e98ce&vjs=3
Tender Officer & Project Developer Assistant,ACTIKNOW,Dubai,"You will find and write tenders and project concepts develop new educations / activities in our areas.
The tender work can include framework agreements, LOV,…",,16 days ago,https://ae.indeed.com/rc/clk?jk=58def65446e5bcd3&fccid=eedbb193b40927ff&vjs=3
SALES & LOGISTICS ASSISTANT (30270),Nadia,Dubai,"Reports GCC/Africa retails sales data.
Prepares shipping instruction for LC / Non LC transaction.
Checks LC compliance as per requirements.",,17 days ago,https://ae.indeed.com/rc/clk?jk=c2da4df2dc655f0b&fccid=8b9276424d9ed4df&vjs=3
Executive Assistant,Irwin & Dow,Dubai,Reporting to the Senior EA Team leader you will work closely to support between 2-4 Management Consultants and ensure they are fully organised with complex…,,18 days ago,https://ae.indeed.com/rc/clk?jk=2d25306262035a6a&fccid=7239efb33fb765df&vjs=3
Office Manager,LaboShop,Dubai,"Coordinate repairs to office equipment.
Greet and assist visitors to the office.
Knowledge of office management systems and procedures.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=b5452218270f0314&fccid=dd616958bd9ddc12&vjs=3
Assistant Finance Manager,Dubai Investments,Dubai,"General Management: • Manage and monitor the work of the admin officer, office driver & office assistant • Checking accuracy of the petty cash, dealing with…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=ab9c96dc287a11f1&fccid=159192311038adf9&vjs=3
Receptionist - Arabic Speaking,TotalMobility Tech Services,Dubai,"Coordinate with the Office Assistant for general management of the office.
Provide a professional welcome and greeting to all visitors.",,19 days ago,https://ae.indeed.com/rc/clk?jk=419c63e102264a12&fccid=c064725b42f2a9e3&vjs=3
Assistant Technician - Special Systems /ELV Systems,Serco Group,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on electronic equipment and systems, individually or as part of a…",,4 days ago,https://ae.indeed.com/rc/clk?jk=c34ace776b59b01f&fccid=8177021cdb259d9d&vjs=3
HR Assistant,RTC-1 Employment Services,Abu Dhabi,"Requirements: • Bachelors Degree in Human Resource, Psychology or any relevant courses • Minimum of 2 years of experience with the same role preferably from…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=21cb0efd81c24b99&fccid=a0f4df2b71213d85&vjs=3
PERSONAL ASSISTANT TO EXECUTIVE DIRECTOR (30268),Nadia,Dubai,"Candidate will be responsible for providing secretarial support to the Executive Director, look after the general administration of the office maintaining diary…",,17 days ago,https://ae.indeed.com/rc/clk?jk=30b4f713d511125e&fccid=8b9276424d9ed4df&vjs=3
Assistant Technician - Chillers & Plants (Electrical),Serco Group,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance on chiller and low voltage power related systems and assets…",,5 days ago,https://ae.indeed.com/rc/clk?jk=47fbab60e5459ddd&fccid=8177021cdb259d9d&vjs=3
Admin Assistant,RTC-1 Employment Services,Dubai,"Position Title: Admin Assistant Employment Type: Full Time Salary: up to 2,000 AED depending on experience and qualifications, plus accommodation,…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=e4f1af144ed51450&fccid=a0f4df2b71213d85&vjs=3
Secretary / Admin Assistant,RTC-1 Employment Services,Dubai,"Requirements: • Open to Arabic nationality • Male, 22 to 29 years old • High School degree; additional qualification as an Administrative assistant or Secretary…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=093d29cc3be7329e&fccid=a0f4df2b71213d85&vjs=3
Assistant Marketing Manager,Rosewood Hotels & Resorts,Abu Dhabi,"Responsible for managing the social media channels of Rosewood Abu Dhabi including but not exclusive to Facebook, Instagram, and Twitter, and using mentioned…",,1 day ago,https://ae.indeed.com/rc/clk?jk=5b1d8352e442958f&fccid=9bda069d9289b31c&vjs=3
University Archivist,Zayed University,Abu Dhabi,"Policy and levels of practice in university office.
Management and preservation training to university offices and departments.
Must be able to communicate.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=24fa3062b5fe6069&fccid=9628b0bd10bde506&vjs=3
Assistant Restaurant Manager - Zahia Mall,Azadea,UAE,Implement adequate hygienic policies and procedures and ensure that health and safety regulations are followed at all times in the restaurant.,,4 days ago,https://ae.indeed.com/rc/clk?jk=eb2afb20467b24f8&fccid=ef639df6a3be4dac&vjs=3
Business Services Assistant,Zayed University,Abu Dhabi,"Responsible for the efficient running of office machinery – maintains working order of machines and equipment.
Typing speed of 40+ wpm (English) essential.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=e3e801d824b5b906&fccid=9628b0bd10bde506&vjs=3
Loss prevention Assistant/Officer,Dubai Holding Group,Dubai,"Must be a university graduate,.
Minimum 2-3 years retail loss prevention experience.
Knowledge of loss prevention procedures and methods.",,28 days ago,https://ae.indeed.com/rc/clk?jk=1f74ce6a4dbe1a5c&fccid=e5d81352d391ec72&vjs=3
Executive Assistant to VP,NTS Group,Dubai,"Arrange for the provision of stationary and office supplies.
Maintenance and reporting of holidays (including holiday balances), absences, out of office reasons…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=1d0bb6b17618d1a3&fccid=92bd0987d9f905b4&vjs=3
Assistant Security Manager PRE-OPENING,Curio Collection by Hilton,Abu Dhabi,"Organise patrolling of all boundary areas, bedrooms, offices, storage areas, public areas, and function rooms.
Knowledge of the codes of practice for P.A.C.E.",,15 days ago,https://ae.indeed.com/rc/clk?jk=614346f003cca23e&fccid=9ab34f33aa6cd3a9&vjs=3
